"species","weight"
"OCHPRI",129
"OCHPRI",150
"OCHPRI",65
"OCHPRI",166
"OCHPRI",149
"OCHPRI",111
"OCHPRI",98
"OCHPRI",167
"OCHPRI",75
"OCHPRI",117
"OCHPRI",81
"OCHPRI",133
"OCHPRI",84
"OCHPRI",103
"OCHPRI",81
"OCHPRI",67
"OCHPRI",183
"OCHPRI",171
"OCHPRI",169
"OCHPRI",187
"OCHPRI",144
"OCHPRI",162
"OCHPRI",152
"OCHPRI",87
"OCHPRI",161
"OCHPRI",152
"PERMAN",17.5
"PERMAN",22
"PERMAN",23.5
"PERMAN",21
"PERMAN",21
"PERMAN",19.5
"PERMAN",18.5
"OCHPRI",152
"OCHPRI",113
"OCHPRI",87
"OCHPRI",161
"OCHPRI",190
"OCHPRI",180
"PERMAN",22
"PERMAN",22
"PERMAN",28
"PERMAN",30
"PERMAN",34
"OCHPRI",85
"OCHPRI",105
"OCHPRI",84
"OCHPRI",53
"OCHPRI",196
"OCHPRI",160
"OCHPRI",162
"PERMAN",23
"PERMAN",18.5
"PERMAN",24
"PERMAN",20
"OCHPRI",78
"MICLON",24
"MICLON",32
"MICLON",20
"OCHPRI",100
"OCHPRI",124
"OCHPRI",107
"OCHPRI",96
"OCHPRI",96
"OCHPRI",88
"OCHPRI",93
"OCHPRI",137
"OCHPRI",145
"OCHPRI",149
"PERMAN",29
"PERMAN",20.5
"PERMAN",18.5
"PERMAN",17.7
"PERMAN",23.7
"PERMAN",12
"PERMAN",23.5
"MICLON",20
"OCHPRI",142
"PERMAN",19
"PERMAN",26.5
"PERMAN",23
"PERMAN",19.5
"PERMAN",30
"PERMAN",15
"PERMAN",22
"PERMAN",17
"PERMAN",26
"PERMAN",23
"PERMAN",21.5
"PERMAN",19.5
"PERMAN",16
"OCHPRI",71
"OCHPRI",130
"OCHPRI",121
"OCHPRI",120
"OCHPRI",92
"OCHPRI",107
"OCHPRI",110
"OCHPRI",133
"OCHPRI",117
"OCHPRI",163
"OCHPRI",154
"MICMON",12
"OCHPRI",116
"OCHPRI",148
"OCHPRI",129
"OCHPRI",131
"OCHPRI",191
"PERMAN",20
"PERMAN",18
"PERMAN",15
"PERMAN",21.5
"PERMAN",28
"PERMAN",19
"PERMAN",20
"PERMAN",20
"PERMAN",25
"PERMAN",20
"OCHPRI",119
"OCHPRI",129
"OCHPRI",66
"OCHPRI",140
"OCHPRI",140
"PERMAN",14
"PERMAN",22
"PERMAN",17.5
"PERMAN",20
"PERMAN",21.5
"PERMAN",22
"PERMAN",17.5
"PERMAN",16.5
"PERMAN",21.5
"PERMAN",15
"PERMAN",17
