collector,date,sex,species,id_num,weight,adult,subadult,juvenile,M_testes_abd,M_testes_inguin,M_testes_scrot,F_vagina_imperf,F_vaging_perf,F_vagina_plug,F_nipple_sm,F_nipple_med,F_nipple_lg,F_lact_cond,F_preg_cond,condition,recap_stat,grid,trap_num,habitat
CARRIE,1982-07-14,F,CHIPSP,1096,43.5,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,GOOD,NNN,KIWI,13,BUME
JIM,1982-07-14,M,CHIPSP,1072,40,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,KIWI,NaN,BUME
JIM,1982-07-14,M,CHIPSP,1064,41,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,KIWI,2,SEDG
OPINCA,1982-07-14,F,CHIPSP,1052,43,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,GOOD,NNN,KIWI,NaN,FELL
KAPLAN,1982-07-14,F,CLEGAP,639,20.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,LOCO,14,NaN
KAPLAN,1982-07-14,M,EUTMIN,640,45.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,LOCO,17,NaN
KAPLAN,1982-07-14,F,MICMON,645,23.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,MICO,53,NaN
GOLIAN,1982-07-14,M,OCHPRI,RR366,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,3,NaN
GOLIAN,1982-07-14,M,OCHPRI,G406Y407,158,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,23,NaN
GOLIAN,1982-07-14,M,OCHPRI,O410R338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YRT,NaN,31,NaN
GOLIAN,1982-07-14,M,OCHPRI,401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,26,NaN
GOLIAN,1982-07-14,F,OCHPRI,B409,165,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,EARS,YRT,NaN,64,NaN
GOLIAN,1982-07-14,F,OCHPRI,O328,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,65,NaN
GOLIAN,1982-07-14,F,OCHPRI,O328,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,65,NaN
GOLIAN,1982-07-14,F,OCHPRI,GO113,182,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NNN,NaN,2,NaN
GOLIAN,1982-07-14,F,OCHPRI,YW,145,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,11,NaN
GOLIAN,1982-07-14,F,OCHPRI,G78,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,14,NaN
GOLIAN,1982-07-14,F,OCHPRI,WY394,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,68,NaN
GOLIAN,1982-07-14,F,OCHPRI,WY394,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,65,NaN
GOLIAN,1982-07-14,U,OCHPRI,B413G414,58,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,68,NaN
KAPLAN,1982-07-14,M,PERMAN,641,19,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,N3,NaN
KAPLAN,1982-07-14,F,PERMAN,642,24.2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,N7,NaN
KAPLAN,1982-07-14,M,PERMAN,644,18.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,N19,NaN
KAPLAN,1982-07-14,M,PERMAN,646,15.3,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,S11,NaN
JIM,1982-07-14,F,PERMAN,1055,28,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NNN,KIWI,NaN,LIPI
JIM,1982-07-14,M,PERMAN,1053,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,KIWI,NaN,TUND
JIM,1982-07-14,F,PERMAN,1098,26,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,GOOD,NNN,KIWI,11,BUME
JIM,1982-07-14,F,PERMAN,1097,16,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,GOOD,NNN,KIWI,88,FELL
OPINCA,1982-07-14,M,PERMAN,1054,23,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,KIWI,NaN,FELL
KAPLAN,1982-07-14,M,PERMAN,637,23,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,LOCO,5,NaN
KAPLAN,1982-07-14,F,PERMAN,638,13.5,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,LOCO,11,NaN
KAPLAN,1982-07-14,M,PERMAN,624,19,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,LOCO,22,NaN
KAPLAN,1982-07-14,M,PERMAN,647,19.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,UPCO,S5,NaN
KAPLAN,1982-07-14,M,PERMAN,648,22.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,UPCO,S9,NaN
KAPLAN,1982-07-14,F,PERMAN,649,26,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NNN,UPCO,N8,NaN
KAPLAN,1982-07-14,F,PERMAN,633,15,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,UPCO,S16,NaN
KAPLAN,1982-07-14,F,PERMAN,635,22,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,LITT,NNN,UPCO,N10,NaN
KAPLAN,1982-07-14,M,ZAPPRI,614,22.4,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,COMO,N10,NaN
KAPLAN,1982-07-14,M,ZAPPRI,643,26.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,N13,NaN
KAPLAN,1982-07-14,M,ZAPPRI,620,29,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,LOCO,25,NaN
KAPLAN,1982-07-14,M,ZAPPRI,628,24.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,LOCO,26,NaN
JIM,1982-07-14,F,ZAPPRI,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,NaN
NUNEZ,1982-07-15,F,CHIPSP,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,MEAD
NUNEZ,1982-07-15,M,PERMAN,NaN,21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,FELL
NUNEZ,1982-07-15,M,PERMAN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,MEAD
KAPLAN,1982-07-16,F,MICLON,753,37.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NNN,MICO,N19,NaN
KAPLAN,1982-07-16,F,MICLON,755,40.4,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NNN,MICO,S19,NaN
KAPLAN,1982-07-16,F,PERMAN,606,17,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,COMO,N3,NaN
KAPLAN,1982-07-16,M,PERMAN,273,18,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,COMO,N14,NaN
KAPLAN,1982-07-16,M,PERMAN,604,17,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,COMO,S18,NaN
KAPLAN,1982-07-16,M,PERMAN,621,20.5,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,COMO,N2,NaN
KAPLAN,1982-07-16,M,PERMAN,650,16.5,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,N5,NaN
KAPLAN,1982-07-16,F,PERMAN,751,19.5,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,N1,NaN
KAPLAN,1982-07-16,F,PERMAN,752,26.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NNN,COMO,N20,NaN
KAPLAN,1982-07-16,M,PERMAN,754,20.5,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,COMO,S13,NaN
KAPLAN,1982-07-16,F,PERMAN,755,20,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NNN,COMO,S16,NaN
KAPLAN,1982-07-16,F,PERMAN,756,22.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,LOCO,2,NaN
KAPLAN,1982-07-16,F,PERMAN,757,17.5,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,LOCO,6,NaN
NUNEZ,1982-07-16,M,PERMAN,NaN,19.7,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,MEAD
XXXXXX,1982-07-16,M,PERMAN,NaN,19.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,FELL
KAPLAN,1982-07-16,F,SOREXS,NaN,4.5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NNN,LOCO,32,NaN
KAPLAN,1982-07-16,U,SOREXS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DEAD,NNN,LOCO,31,NaN
KAPLAN,1982-07-16,F,SPELAT,758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NNN,COMO,N12,NaN
KAPLAN,1982-07-16,F,ZAPPRI,759,27.2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NNN,COMO,S9,NaN
KAPLAN,1982-07-16,M,ZAPPRI,758,24.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YRT,LOCO,34,NaN
KAPLAN,1982-07-16,M,ZAPPRI,760,28.2,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,LOCO,29,NaN
GOLIAN,1982-07-20,M,OCHPRI,WY394,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,65,NaN
GOLIAN,1982-07-20,M,OCHPRI,B420W419,75,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,20,NaN
GOLIAN,1982-07-20,F,OCHPRI,O328O415,180,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,YRT,NaN,64,NaN
GOLIAN,1982-07-20,F,OCHPRI,O328O415,180,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,YYY,NaN,65,NaN
GOLIAN,1982-07-20,F,OCHPRI,O328O415,180,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,YYY,NaN,64,NaN
GOLIAN,1982-07-20,F,OCHPRI,O328O415,180,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,YYY,NaN,27,NaN
GOLIAN,1982-07-20,F,OCHPRI,425,180,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,EARS,YYY,NaN,17,NaN
GOLIAN,1982-07-20,F,OCHPRI,G78,150,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,14,NaN
GOLIAN,1982-07-20,F,OCHPRI,B416R417,80,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,15,NaN
GOLIAN,1982-07-21,M,OCHPRI,WY394,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,64,NaN
GOLIAN,1982-07-21,M,OCHPRI,B411B412,160,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,55,NaN
GOLIAN,1982-07-21,M,OCHPRI,401,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,26,NaN
GOLIAN,1982-07-21,M,OCHPRI,W430G431,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,13,NaN
GOLIAN,1982-07-21,M,OCHPRI,W428B429,80,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,38,NaN
GOLIAN,1982-07-21,M,OCHPRI,B426O427,76,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,15,NaN
GOLIAN,1982-07-21,M,OCHPRI,WB429,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,38,NaN
GOLIAN,1982-07-21,M,OCHPRI,BW419,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,20,NaN
GOLIAN,1982-07-21,M,OCHPRI,B421Y422,105,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,2,NaN
GOLIAN,1982-07-21,F,OCHPRI,G,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,68,NaN
GOLIAN,1982-07-21,F,OCHPRI,G,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,21,NaN
GOLIAN,1982-07-21,F,OCHPRI,YO402,125,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,31B,NaN
GOLIAN,1982-07-21,F,OCHPRI,YO402,125,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,31B,NaN
GOLIAN,1982-07-21,F,OCHPRI,425,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,18,NaN
GOLIAN,1982-07-21,F,OCHPRI,G112O113,180,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,NaN
GOLIAN,1982-07-21,F,OCHPRI,OO415,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,65,NaN
GOLIAN,1982-07-21,F,OCHPRI,W432W433,82,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,55,NaN
INGRAH,1982-07-21,M,PERMAN,192,20.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,Y81,D-1,I2,NaN
INGRAH,1982-07-21,F,PERMAN,332,22.5,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,GOOD,NNN,D-1,A8,NaN
INGRAH,1982-07-21,F,PERMAN,333,26.5,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,GOES,NNN,D-1,H9,NaN
GOLIAN,1982-07-22,M,OCHPRI,W434R435,88,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,14,NaN
GOLIAN,1982-07-22,F,OCHPRI,R438Y439,80,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,57,NaN
GOLIAN,1982-07-22,F,OCHPRI,W436O437,79,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,5,NaN
INGRAH,1982-07-22,M,PERMAN,192,20.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,D-1,E6,NaN
INGRAH,1982-07-22,F,PERMAN,332,23,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,GOEA,YYY,D-1,A8,NaN
INGRAH,1982-07-22,F,PERMAN,333,27.5,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,GOOD,YYY,D-1,I10,NaN
INGRAH,1982-07-22,M,PERMAN,334,21,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,D-1,A3,NaN
INGRAH,1982-07-23,M,PERMAN,192,20,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,D-1,G3,NaN
INGRAH,1982-07-23,F,PERMAN,332,22.5,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,GOOD,YYY,D-1,A8,NaN
INGRAH,1982-07-23,F,PERMAN,333,28,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,GOOD,YYY,D-1,J10,NaN
INGRAH,1982-07-23,M,PERMAN,335,19.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,D-1,I9,NaN
GOLIAN,1982-07-25,M,OCHPRI,WR435,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,69,NaN
GOLIAN,1982-07-25,F,OCHPRI,G,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,14,NaN
GOLIAN,1982-07-26,M,OCHPRI,401,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,26,NaN
GOLIAN,1982-07-26,M,OCHPRI,RR366,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,56,NaN
GOLIAN,1982-07-26,F,OCHPRI,OO415,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,14,NaN
GOLIAN,1982-07-27,M,OCHPRI,BW419,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,19,NaN
GOLIAN,1982-07-27,M,OCHPRI,WY394,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,64,NaN
GOLIAN,1982-07-27,M,OCHPRI,BO427,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,15,NaN
GOLIAN,1982-07-27,F,OCHPRI,OO415,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,69,NaN
GOLIAN,1982-07-27,F,OCHPRI,OO415,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,69,NaN
BEAUPR,1982-07-29,M,PERMAN,336,19.5,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NEW,DOE,F4,TRIF
BEAUPR,1982-07-30,M,PERMAN,336,18.5,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,RD-1,D1,TRIF
BEAUPR,1982-07-30,M,PERMAN,336,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,RD1,C5,TRIF
BEAUPR,1982-07-31,M,PERMAN,337,21,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NEW,RD1,I10,TRIF
BEAUPR,1982-07-31,M,PERMAN,336,21.5,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,RD1,D3,TRIF
GOLIAN,1982-08-03,F,OCHPRI,440G441,130,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NEW,NaN,46,NaN
BEAUPR,1982-08-03,M,PERMAN,336,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOES,YYY,ED1,F10,NaN
FRUTH,1982-08-03,M,PERMAN,337,20.5,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,RD1,G6,TRIF
GOLIAN,1982-08-04,M,OCHPRI,R446B447,90,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,14,NaN
GOLIAN,1982-08-04,M,OCHPRI,O448G449,105,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,56,NaN
GOLIAN,1982-08-04,F,OCHPRI,R442W443,108,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,3,NaN
GOLIAN,1982-08-04,F,OCHPRI,R444O445,98,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NEW,NaN,56,NaN
INGRAH,1982-08-04,M,PERMAN,105,19.5,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOEA,NNN,DMA,21,DMKO
INGRAH,1982-08-04,F,PERMAN,106,20.5,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,FFA,23,FFCP
XXXXXX,1982-08-04,F,PERMAN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,TUND
XXXXXX,1982-08-04,F,PERMAN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,NaN
XXXXXX,1982-08-04,M,PERMAN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,NaN
XXXXXX,1982-08-04,M,PERMAN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NNN,NaN,NaN,NaN
XXXXXX,1982-08-04,M,PERMAN,337,17.3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YYY,NaN,G7,NaN
BEAUPR,1982-08-04,M,PERMAN,336,19,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,YYY,RD1,B9,NaN
HAUSE,1982-08-04,F,THOTAL,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GOOD,NNN,53,NaN,GEUM
